stn,n_obs,mean_ra_arcsec,mean_dec_arcsec,std_ra_arcsec,std_dec_arcsec,sem_ra_arcsec,sem_dec_arcsec,snr_ra,snr_dec,mean_at_arcsec,mean_ct_arcsec,std_at_arcsec,std_ct_arcsec,sem_at_arcsec,sem_ct_arcsec,snr_at,snr_ct,mean_speed_arcsec_per_day,detected_ra,detected_dec,detected_at,detected_ct,at_better_than_ra,ct_better_than_dec,at_gains_detection,at_loses_detection,ct_gains_detection,ct_loses_detection,scenario,target_station,applied_bias,is_target,corrected_snr_at,corrected_snr_ct,corrected_detected_at,corrected_detected_ct
F52,4365,-0.0267324534796843,0.033536182826201334,0.7124925187287454,0.52693793278838,0.010784206232503249,0.007975672992409711,2.478852212517371,4.204809156307819,0.44346325594015173,-0.11107984188763761,0.6461152155406596,0.40079638407153645,0.009779526873883573,0.006066408768447111,45.34608490359891,18.310642445558777,1906.940637333893,False,True,True,True,True,True,True,False,False,False,AA00_dcr,AA00,dcr,False,-1.3182102774251006,-1.2925317372966638,False,False
G96,11617,0.1119550531245233,-0.010374904910257502,0.6500889073103556,0.5349545902971861,0.006031505954501901,0.0049632931134221256,18.561708132105935,2.090326860245443,0.4975407167937905,-0.0861892865925942,0.5677459592059602,0.3796075333894141,0.005267530479427692,0.0035219876424055973,94.4542644294006,24.471774277358044,1802.8287117442244,True,False,True,True,True,True,False,False,True,False,AA00_dcr,AA00,dcr,False,0.13453881597370718,-0.9607055715716424,False,False
T09,9,-0.23898510045092924,0.22887912727682647,0.1949285482694095,0.3552288658691421,0.06497618275646984,0.1184096219563807,3.6780415578834984,1.932943653524543,0.3025926191929982,-0.13366533781222711,0.18756234460994464,0.35928362411439596,0.06252078153664821,0.11976120803813199,4.839872627241959,1.1160987769066928,901.1708485849505,True,False,True,False,True,False,False,False,False,False,AA00_dcr,AA00,dcr,False,0.0,0.0,False,False
V00,459,0.19337357111222753,0.024002727550539515,0.7250639084407757,0.4286155520991768,0.033843085021237555,0.020006060710304904,5.713828127396772,1.199772803757212,0.5135841255564606,-0.08661261871386622,0.5485380541640276,0.4180007708970262,0.025603563752578853,0.019510605153182023,20.05908749733057,4.439258446052884,1726.9049535973586,True,False,True,True,True,True,False,False,True,False,AA00_dcr,AA00,dcr,False,0.05905418992754696,-0.12564499093039366,False,False
W68,12957,0.19229358314458356,0.005326983151638453,1.1352841183348823,0.8236038163358448,0.009973608879007724,0.007235459567107941,19.280241031841513,0.7362328684489743,0.6687871503132405,0.18811744300103544,1.061300454902883,0.6286024150681043,0.0093236534091918,0.005522348570756283,71.73015994501804,34.064753535699545,20366.87226506025,True,False,True,True,True,True,False,False,True,False,AA00_dcr,AA00,dcr,False,0.1962825208992108,-1.2574830885945973,False,False
W84,137,-0.21333431312977488,0.04070374795638815,0.49382256736594093,0.2764502266324191,0.042190109198244265,0.02361873681009413,5.056500615519923,1.7233668457236146,0.4290589141505124,0.08695711691677124,0.33280335535312083,0.25294312952596754,0.028433309515977116,0.02161038996773529,15.090009620913722,4.023856906173365,1288.9081084365298,True,False,True,True,True,True,False,False,True,False,AA00_dcr,AA00,dcr,False,-0.0017809566651338369,0.10539697557756403,False,False
691,1893,-0.061106552806155255,-0.03321869432644611,0.6998511020680606,0.4936927673533868,0.016085343656320583,0.01134701052845791,3.7988963190192093,2.9275282897759523,0.35961203560623467,0.029519482307924352,0.624079648170914,0.4673858261649812,0.014343816249029133,0.01074237307298818,25.070875795036425,2.7479479727018075,1519.620772395072,True,False,True,False,True,False,False,False,False,False,AA00_epoch,AA00,epoch,False,0.08520472242944531,0.8612730891192087,False,False
703,31422,0.2523830126734959,-0.029626779119357353,0.894975527515748,0.7130466077680305,0.005048870690266021,0.004022545877591355,49.98801279661968,7.365181161612371,0.6454695330556474,-0.14845034648244831,0.7676455993741222,0.5882444179705001,0.004330557929276451,0.003318492974716108,149.0499708344722,44.73426570841182,2542.8973816739726,True,True,True,True,True,True,False,False,False,False,AA00_epoch,AA00,epoch,False,3.953551991449659,0.3222728867184473,True,False
F51,7557,0.22941646741956365,0.12662480202757725,0.601211024278391,0.47821614929593065,0.00691595604551803,0.005501099838874691,33.172054002315384,23.018088334401092,0.34176751615109163,-0.06004047452254263,0.570744438351509,0.460362195007274,0.006565487473554941,0.00529571910214046,52.055162320801536,11.337548945576637,1799.3189798139633,True,True,True,True,True,False,False,False,False,False,AA00_epoch,AA00,epoch,True,-7.7220994056183345,-3.9095776553669332,True,True
F52,4365,-0.05233504723742429,0.007698342612451982,0.7592917052282439,0.5139454781667798,0.011492553429782544,0.007779020667756855,4.553822399624428,0.9896287644999743,0.4658285823615401,-0.09532525707361665,0.672394460709149,0.40646453846203456,0.010177286558486518,0.006152201312646544,45.771392962606555,15.494495747020638,1906.940637333893,True,False,True,True,True,True,False,False,True,False,AA00_epoch,AA00,epoch,False,0.306856831119514,0.5441855712702998,False,False
G96,11617,0.09199542919798448,-0.01462654916854907,0.6489227123383243,0.5248907745485498,0.006020686031505493,0.004869921323917139,15.279891480237298,3.003446708002287,0.4999235223200276,-0.08094403238931,0.5578837067331742,0.3708868822669296,0.005176028788127472,0.003441077695195426,96.5843782528274,23.522872646068812,1802.8287117442244,True,True,True,True,True,True,False,False,False,False,AA00_epoch,AA00,epoch,False,0.45002476137613906,0.09492507876731003,False,False
T09,9,-0.23898510045092924,0.22887912727682647,0.1949285482694095,0.3552288658691421,0.06497618275646984,0.1184096219563807,3.6780415578834984,1.932943653524543,0.3025926191929982,-0.13366533781222711,0.18756234460994464,0.35928362411439596,0.06252078153664821,0.11976120803813199,4.839872627241959,1.1160987769066928,901.1708485849505,True,False,True,False,True,False,False,False,False,False,AA00_epoch,AA00,epoch,False,0.0,0.0,False,False
V00,459,0.19566983107600391,0.023538621444003083,0.7131177613642529,0.43115482735562144,0.03328548662683341,0.020124583929287055,5.878532985552413,1.169645122935815,0.5065502180207866,-0.08144136563329253,0.5489660675989788,0.4101130206374285,0.02562354170886747,0.019142436499971976,19.76893841515617,4.254493184993026,1726.9049535973586,True,False,True,True,True,True,False,False,True,False,AA00_epoch,AA00,epoch,False,-0.13584258594539278,0.06385082385468564,False,False
W68,12957,0.16672576738391934,-0.006765577818268398,1.1245343024801715,0.8141636449085898,0.009879170440977346,0.007152526514451203,16.876494679387793,0.9459004177892943,0.6771035020269512,0.19391855447104142,1.0452355017347992,0.6055213789376002,0.009182520844250216,0.0053195788647680325,73.73830275059278,36.453741809408726,20366.87226506025,True,False,True,True,True,True,False,False,True,False,AA00_epoch,AA00,epoch,False,0.8349925061864426,-0.5171776453712392,False,False
W84,137,-0.2081006995117687,0.052042397553266055,0.4943047817153212,0.2736209226305933,0.04223130755044966,0.023377013056097275,4.927640454020301,2.226221007293837,0.4398729617329411,0.08448892206376474,0.32374233707430056,0.2421722166535146,0.02765917448065495,0.02069016877841727,15.90332936511145,4.0835298623517495,1288.9081084365298,True,False,True,True,True,True,False,False,True,False,AA00_epoch,AA00,epoch,False,0.2711592475113702,0.024200848511902594,False,False
691,1893,-0.04369820943556708,-0.026238529778299238,0.674385243413366,0.5056343440520308,0.01550003760085593,0.011621475145900662,2.8192324793556636,2.2577624138837975,0.35963194503217866,0.017195958042487733,0.5926559079740773,0.4816178610035894,0.013621574534270932,0.011069481468804461,26.401642785668407,1.5534565093178614,1519.620772395072,False,False,True,False,True,False,True,False,False,False,AA00_mag_dep,AA00,mag_dep,False,0.08852423476552634,0.057233734543489345,False,False
703,31390,0.2867896895687043,-0.024784548087949453,0.8630140950611489,0.7061089448560437,0.004871046001158626,0.003985437980569324,58.87640755198957,6.218776508073764,0.6237570381830942,-0.1476388893808116,0.7569363727432827,0.5851602888657843,0.004272319435665108,0.0033027765148083052,145.9996256309867,44.70144701552131,2539.2630041269836,True,True,True,True,True,True,False,False,False,False,AA00_mag_dep,AA00,mag_dep,False,0.36498902975308734,0.4978075900103001,False,False
F51,7557,0.007106237721436508,-0.012176242882124525,0.5972963142664203,0.47874658666307224,0.006870923667067827,0.005507201658980958,1.034247805065356,2.210967318087566,0.3979552491868376,-0.03894353076636743,0.4956529093047343,0.42422299293535826,0.00570168143323563,0.004879996297740037,69.79612134538411,7.980237768705373,1799.3189798139633,False,False,True,True,True,True,True,False,True,False,AA00_mag_dep,AA00,mag_dep,True,-1.3161246878731776,-1.0386753737588847,False,False
