fake_code,real_code,bias_type,bias_params,injected_ra_arcsec,injected_dec_arcsec,recovered_mean_ra_arcsec,recovered_mean_dec_arcsec,recovered_rms_ra_arcsec,recovered_rms_dec_arcsec,n_obs,n_objects,recovery_error_ra,recovery_error_dec,detection_snr_ra,detection_snr_dec,detected_ra,detected_dec,scenario,target_station,applied_bias,is_target
AA00,F51,nan,{},0.0,0.0,-0.01248327236875342,-0.023994929142829587,0.5593669363062643,0.4644407197117671,7520,98,0.01248327236875342,0.023994929142829587,0.0,0.0,True,True,AA07_clean,AA07,clean,False
AA01,G96,nan,{},0.0,0.0,0.12183217677371538,-0.007020820182397568,0.6591929890248257,0.5640586743592534,11605,99,-0.12183217677371538,0.007020820182397568,0.0,0.0,False,True,AA07_clean,AA07,clean,False
AA02,F52,nan,{},0.0,0.0,-0.01936016854393624,0.00521720271233911,0.5774651804908084,0.5128000010002255,4341,96,0.01936016854393624,-0.00521720271233911,0.0,0.0,True,True,AA07_clean,AA07,clean,False
AA03,703,nan,{},0.0,0.0,0.281116258858585,-0.017962751337728546,0.895699085917569,0.7021188288567041,31218,98,-0.281116258858585,0.017962751337728546,0.0,0.0,False,True,AA07_clean,AA07,clean,False
AA04,691,nan,{},0.0,0.0,-0.04162937351777051,-0.025096912702431647,0.6737376115372065,0.5032148532214714,1893,82,0.04162937351777051,0.025096912702431647,0.0,0.0,True,True,AA07_clean,AA07,clean,False
AA05,W84,nan,{},0.0,0.0,-0.20900682791558817,0.04128092822110353,0.5328546678875351,0.2778511262978356,137,14,0.20900682791558817,-0.04128092822110353,0.0,0.0,False,True,AA07_clean,AA07,clean,False
AA06,W68,nan,{},0.0,0.0,0.1932509656030077,-0.011500083834932461,1.1445285434637802,0.817107293167304,12957,89,-0.1932509656030077,0.011500083834932461,0.0,0.0,False,True,AA07_clean,AA07,clean,False
AA07,T09,nan,{},0.0,0.0,-0.23898510045092924,0.22887912727682647,0.30147821288172394,0.4056505435443489,9,1,0.23898510045092924,-0.22887912727682647,0.0,0.0,False,False,AA07_clean,AA07,clean,True
AA08,V00,nan,{},0.0,0.0,0.20029659792851912,0.019110743505830415,0.7436852131465317,0.42620504508598145,455,58,-0.20029659792851912,-0.019110743505830415,0.0,0.0,False,True,AA07_clean,AA07,clean,False
AA00,F51,nan,{},0.0,0.0,-0.01248327236875342,-0.023994929142829587,0.5593669363062643,0.4644407197117671,7520,98,0.01248327236875342,0.023994929142829587,0.0,0.0,True,True,AA07_constant,AA07,constant,False
AA01,G96,nan,{},0.0,0.0,0.12183217692265222,-0.007020819444645066,0.6591929891719769,0.5640586743695324,11605,99,-0.12183217692265222,0.007020819444645066,0.0,0.0,False,True,AA07_constant,AA07,constant,False
AA02,F52,nan,{},0.0,0.0,-0.01936016854393624,0.00521720271233911,0.5774651804908084,0.5128000010002255,4341,96,0.01936016854393624,-0.00521720271233911,0.0,0.0,True,True,AA07_constant,AA07,constant,False
AA03,703,nan,{},0.0,0.0,0.281116258858585,-0.017962751337728546,0.895699085917569,0.7021188288567041,31218,98,-0.281116258858585,0.017962751337728546,0.0,0.0,False,True,AA07_constant,AA07,constant,False
AA04,691,nan,{},0.0,0.0,-0.04162937351777051,-0.025096912702431647,0.6737376115372065,0.5032148532214714,1893,82,0.04162937351777051,0.025096912702431647,0.0,0.0,True,True,AA07_constant,AA07,constant,False
AA05,W84,nan,{},0.0,0.0,-0.20900682791558817,0.04128092822110353,0.5328546678875351,0.2778511262978356,137,14,0.20900682791558817,-0.04128092822110353,0.0,0.0,False,True,AA07_constant,AA07,constant,False
AA06,W68,nan,{},0.0,0.0,0.1932509656030077,-0.011500083834932461,1.1445285434637802,0.817107293167304,12957,89,-0.1932509656030077,0.011500083834932461,0.0,0.0,False,True,AA07_constant,AA07,constant,False
AA07,T09,ConstantBias,"{'delta_ra': 0.5, 'delta_dec': 0.0}",0.5,0.0,0.2610149047790617,0.22887912727682647,0.31922408568416066,0.4056505435443489,9,1,0.2389850952209383,-0.22887912727682647,4.698893558689978,0.0,False,False,AA07_constant,AA07,constant,True
AA08,V00,nan,{},0.0,0.0,0.20029659792851912,0.019110743505830415,0.7436852131465317,0.42620504508598145,455,58,-0.20029659792851912,-0.019110743505830415,0.0,0.0,False,True,AA07_constant,AA07,constant,False
AA00,F51,nan,{},0.0,0.0,-0.01248327236875342,-0.023994929142829587,0.5593669363062643,0.4644407197117671,7520,98,0.01248327236875342,0.023994929142829587,0.0,0.0,True,True,AA07_timing,AA07,timing,False
AA01,G96,nan,{},0.0,0.0,0.12183217792679299,-0.007020822224519146,0.6591929892960708,0.5640586744634798,11605,99,-0.12183217792679299,0.007020822224519146,0.0,0.0,False,True,AA07_timing,AA07,timing,False
AA02,F52,nan,{},0.0,0.0,-0.01936016854393624,0.00521720271233911,0.5774651804908084,0.5128000010002255,4341,96,0.01936016854393624,-0.00521720271233911,0.0,0.0,True,True,AA07_timing,AA07,timing,False
AA03,703,nan,{},0.0,0.0,0.281116258858585,-0.017962751337728546,0.895699085917569,0.7021188288567041,31218,98,-0.281116258858585,0.017962751337728546,0.0,0.0,False,True,AA07_timing,AA07,timing,False
AA04,691,nan,{},0.0,0.0,-0.04162937351777051,-0.025096912702431647,0.6737376115372065,0.5032148532214714,1893,82,0.04162937351777051,0.025096912702431647,0.0,0.0,True,True,AA07_timing,AA07,timing,False
AA05,W84,nan,{},0.0,0.0,-0.20900682791558817,0.04128092822110353,0.5328546678875351,0.2778511262978356,137,14,0.20900682791558817,-0.04128092822110353,0.0,0.0,False,True,AA07_timing,AA07,timing,False
AA06,W68,nan,{},0.0,0.0,0.1932509656030077,-0.011500083834932461,1.1445285434637802,0.817107293167304,12957,89,-0.1932509656030077,0.011500083834932461,0.0,0.0,False,True,AA07_timing,AA07,timing,False
AA07,T09,TimingBias,{'delta_t_sec': 1.0},-0.0099865048526716,0.0035496206907746,-0.24897160549171776,0.2324287479676279,0.3094344192277767,0.4076725894616933,9,1,0.23898510063904616,-0.2288791272768533,0.09682023943161089,0.02612111372605396,False,False,AA07_timing,AA07,timing,True
AA08,V00,nan,{},0.0,0.0,0.20029659792851912,0.019110743505830415,0.7436852131465317,0.42620504508598145,455,58,-0.20029659792851912,-0.019110743505830415,0.0,0.0,False,True,AA07_timing,AA07,timing,False
AA00,F51,nan,{},0.0,0.0,-0.01248327236875342,-0.023994929142829587,0.5593669363062643,0.4644407197117671,7520,98,0.01248327236875342,0.023994929142829587,0.0,0.0,True,True,AA07_mag_dep,AA07,mag_dep,False
AA01,G96,nan,{},0.0,0.0,0.12183217692265222,-0.007020819444645066,0.6591929891719769,0.5640586743695324,11605,99,-0.12183217692265222,0.007020819444645066,0.0,0.0,False,True,AA07_mag_dep,AA07,mag_dep,False
AA02,F52,nan,{},0.0,0.0,-0.01936016854393624,0.00521720271233911,0.5774651804908084,0.5128000010002255,4341,96,0.01936016854393624,-0.00521720271233911,0.0,0.0,True,True,AA07_mag_dep,AA07,mag_dep,False
AA03,703,nan,{},0.0,0.0,0.281116258858585,-0.017962751337728546,0.895699085917569,0.7021188288567041,31218,98,-0.281116258858585,0.017962751337728546,0.0,0.0,False,True,AA07_mag_dep,AA07,mag_dep,False
AA04,691,nan,{},0.0,0.0,-0.04162937351777051,-0.025096912702431647,0.6737376115372065,0.5032148532214714,1893,82,0.04162937351777051,0.025096912702431647,0.0,0.0,True,True,AA07_mag_dep,AA07,mag_dep,False
AA05,W84,nan,{},0.0,0.0,-0.20900682791558817,0.04128092822110353,0.5328546678875351,0.2778511262978356,137,14,0.20900682791558817,-0.04128092822110353,0.0,0.0,False,True,AA07_mag_dep,AA07,mag_dep,False
AA06,W68,nan,{},0.0,0.0,0.1932509656030077,-0.011500083834932461,1.1445285434637802,0.817107293167304,12957,89,-0.1932509656030077,0.011500083834932461,0.0,0.0,False,True,AA07_mag_dep,AA07,mag_dep,False
AA07,T09,MagnitudeDependentBias,"{'slope_ra': 0.05, 'slope_dec': 0.02, 'ref_mag': 18.0}",0.1188888888888888,0.0475555555555555,-0.12009621083208082,0.2764346828324271,0.22801790677944703,0.43395540926998166,9,1,0.2389850997209696,-0.22887912727687162,1.5642046350844558,0.3287588162725439,False,False,AA07_mag_dep,AA07,mag_dep,True
AA08,V00,nan,{},0.0,0.0,0.20029659792851912,0.019110743505830415,0.7436852131465317,0.42620504508598145,455,58,-0.20029659792851912,-0.019110743505830415,0.0,0.0,False,True,AA07_mag_dep,AA07,mag_dep,False
AA00,F51,nan,{},0.0,0.0,-0.01248327236875342,-0.023994929142829587,0.5593669363062643,0.4644407197117671,7520,98,0.01248327236875342,0.023994929142829587,0.0,0.0,True,True,AA07_epoch,AA07,epoch,False
AA01,G96,nan,{},0.0,0.0,0.12183217692265222,-0.007020819444645066,0.6591929891719769,0.5640586743695324,11605,99,-0.12183217692265222,0.007020819444645066,0.0,0.0,False,True,AA07_epoch,AA07,epoch,False
AA02,F52,nan,{},0.0,0.0,-0.01936016854393624,0.00521720271233911,0.5774651804908084,0.5128000010002255,4341,96,0.01936016854393624,-0.00521720271233911,0.0,0.0,True,True,AA07_epoch,AA07,epoch,False
AA03,703,nan,{},0.0,0.0,0.281116258858585,-0.017962751337728546,0.895699085917569,0.7021188288567041,31218,98,-0.281116258858585,0.017962751337728546,0.0,0.0,False,True,AA07_epoch,AA07,epoch,False
AA04,691,nan,{},0.0,0.0,-0.04162937351777051,-0.025096912702431647,0.6737376115372065,0.5032148532214714,1893,82,0.04162937351777051,0.025096912702431647,0.0,0.0,True,True,AA07_epoch,AA07,epoch,False
AA05,W84,nan,{},0.0,0.0,-0.20900682791558817,0.04128092822110353,0.5328546678875351,0.2778511262978356,137,14,0.20900682791558817,-0.04128092822110353,0.0,0.0,False,True,AA07_epoch,AA07,epoch,False
AA06,W68,nan,{},0.0,0.0,0.1932509656030077,-0.011500083834932461,1.1445285434637802,0.817107293167304,12957,89,-0.1932509656030077,0.011500083834932461,0.0,0.0,False,True,AA07_epoch,AA07,epoch,False
AA07,T09,CatalogEpochBias,"{'epoch_error_years': 5.0, 'pm_ra_median_masyr': 50.0, 'pm_dec_median_masyr': 30.0}",0.25,0.15,0.011014902473952856,0.37887912727683215,0.1841101969292109,0.5056837961226146,9,1,0.23898509752604713,-0.22887912727683216,4.073647264026174,0.889884159726738,False,False,AA07_epoch,AA07,epoch,True
AA08,V00,nan,{},0.0,0.0,0.20029659792851912,0.019110743505830415,0.7436852131465317,0.42620504508598145,455,58,-0.20029659792851912,-0.019110743505830415,0.0,0.0,False,True,AA07_epoch,AA07,epoch,False
AA00,F51,nan,{},0.0,0.0,-0.01248327236875342,-0.023994929142829587,0.5593669363062643,0.4644407197117671,7520,98,0.01248327236875342,0.023994929142829587,0.0,0.0,True,True,AA07_seasonal,AA07,seasonal,False
AA01,G96,nan,{},0.0,0.0,0.12183217692265222,-0.007020819444645066,0.6591929891719769,0.5640586743695324,11605,99,-0.12183217692265222,0.007020819444645066,0.0,0.0,False,True,AA07_seasonal,AA07,seasonal,False
AA02,F52,nan,{},0.0,0.0,-0.01936016854393624,0.00521720271233911,0.5774651804908084,0.5128000010002255,4341,96,0.01936016854393624,-0.00521720271233911,0.0,0.0,True,True,AA07_seasonal,AA07,seasonal,False
AA03,703,nan,{},0.0,0.0,0.281116258858585,-0.017962751337728546,0.895699085917569,0.7021188288567041,31218,98,-0.281116258858585,0.017962751337728546,0.0,0.0,False,True,AA07_seasonal,AA07,seasonal,False
AA04,691,nan,{},0.0,0.0,-0.04162937351777051,-0.025096912702431647,0.6737376115372065,0.5032148532214714,1893,82,0.04162937351777051,0.025096912702431647,0.0,0.0,True,True,AA07_seasonal,AA07,seasonal,False
AA05,W84,nan,{},0.0,0.0,-0.20900682791558817,0.04128092822110353,0.5328546678875351,0.2778511262978356,137,14,0.20900682791558817,-0.04128092822110353,0.0,0.0,False,True,AA07_seasonal,AA07,seasonal,False
AA06,W68,nan,{},0.0,0.0,0.1932509656030077,-0.011500083834932461,1.1445285434637802,0.817107293167304,12957,89,-0.1932509656030077,0.011500083834932461,0.0,0.0,False,True,AA07_seasonal,AA07,seasonal,False
AA07,T09,SeasonalBias,"{'amplitude_ra': 0.3, 'amplitude_dec': 0.1, 'phase_days': 0.0}",0.2823284557501691,0.0941094852500564,0.04334335876446122,0.3229886125268422,0.18984072649350345,0.46525583505530504,9,1,0.2389850969857079,-0.22887912727678578,4.461557764210791,0.606824105100388,False,False,AA07_seasonal,AA07,seasonal,True
AA08,V00,nan,{},0.0,0.0,0.20029659792851912,0.019110743505830415,0.7436852131465317,0.42620504508598145,455,58,-0.20029659792851912,-0.019110743505830415,0.0,0.0,False,True,AA07_seasonal,AA07,seasonal,False
AA00,F51,nan,{},0.0,0.0,-0.01248327236875342,-0.023994929142829587,0.5593669363062643,0.4644407197117671,7520,98,0.01248327236875342,0.023994929142829587,0.0,0.0,True,True,AA07_step,AA07,step,False
AA01,G96,nan,{},0.0,0.0,0.12183217677371538,-0.007020820182397568,0.6591929890248257,0.5640586743592534,11605,99,-0.12183217677371538,0.007020820182397568,0.0,0.0,False,True,AA07_step,AA07,step,False
AA02,F52,nan,{},0.0,0.0,-0.01936016854393624,0.00521720271233911,0.5774651804908084,0.5128000010002255,4341,96,0.01936016854393624,-0.00521720271233911,0.0,0.0,True,True,AA07_step,AA07,step,False
AA03,703,nan,{},0.0,0.0,0.281116258858585,-0.017962751337728546,0.895699085917569,0.7021188288567041,31218,98,-0.281116258858585,0.017962751337728546,0.0,0.0,False,True,AA07_step,AA07,step,False
AA04,691,nan,{},0.0,0.0,-0.04162937351777051,-0.025096912702431647,0.6737376115372065,0.5032148532214714,1893,82,0.04162937351777051,0.025096912702431647,0.0,0.0,True,True,AA07_step,AA07,step,False
AA05,W84,nan,{},0.0,0.0,-0.20900682791558817,0.04128092822110353,0.5328546678875351,0.2778511262978356,137,14,0.20900682791558817,-0.04128092822110353,0.0,0.0,False,True,AA07_step,AA07,step,False
AA06,W68,nan,{},0.0,0.0,0.1932509656030077,-0.011500083834932461,1.1445285434637802,0.817107293167304,12957,89,-0.1932509656030077,0.011500083834932461,0.0,0.0,False,True,AA07_step,AA07,step,False
AA07,T09,StepChangeBias,"{'delta_ra_before': 0.0, 'delta_dec_before': 0.0, 'delta_ra_after': 0.4, 'delta_dec_after': -0.2, 'change_mjd': 59945.0}",0.0,0.0,-0.23898510045092924,0.22887912727682647,0.30147821288172394,0.4056505435443489,9,1,0.23898510045092924,-0.22887912727682647,0.0,0.0,False,False,AA07_step,AA07,step,True
AA08,V00,nan,{},0.0,0.0,0.20029659792851912,0.019110743505830415,0.7436852131465317,0.42620504508598145,455,58,-0.20029659792851912,-0.019110743505830415,0.0,0.0,False,True,AA07_step,AA07,step,False
AA00,F51,nan,{},0.0,0.0,-0.01248327236875342,-0.023994929142829587,0.5593669363062643,0.4644407197117671,7520,98,0.01248327236875342,0.023994929142829587,0.0,0.0,True,True,AA07_dcr,AA07,dcr,False
AA01,G96,nan,{},0.0,0.0,0.1218321762673546,-0.0070208202519880195,0.6591929887780591,0.5640586743140511,11605,99,-0.1218321762673546,0.0070208202519880195,0.0,0.0,False,True,AA07_dcr,AA07,dcr,False
AA02,F52,nan,{},0.0,0.0,-0.01936016854393624,0.00521720271233911,0.5774651804908084,0.5128000010002255,4341,96,0.01936016854393624,-0.00521720271233911,0.0,0.0,True,True,AA07_dcr,AA07,dcr,False
AA03,703,nan,{},0.0,0.0,0.281116258858585,-0.017962751337728546,0.895699085917569,0.7021188288567041,31218,98,-0.281116258858585,0.017962751337728546,0.0,0.0,False,True,AA07_dcr,AA07,dcr,False
AA04,691,nan,{},0.0,0.0,-0.04162937351777051,-0.025096912702431647,0.6737376115372065,0.5032148532214714,1893,82,0.04162937351777051,0.025096912702431647,0.0,0.0,True,True,AA07_dcr,AA07,dcr,False
AA05,W84,nan,{},0.0,0.0,-0.20900682791558817,0.04128092822110353,0.5328546678875351,0.2778511262978356,137,14,0.20900682791558817,-0.04128092822110353,0.0,0.0,False,True,AA07_dcr,AA07,dcr,False
AA06,W68,nan,{},0.0,0.0,0.1932509656030077,-0.011500083834932461,1.1445285434637802,0.817107293167304,12957,89,-0.1932509656030077,0.011500083834932461,0.0,0.0,False,True,AA07_dcr,AA07,dcr,False
AA07,T09,DCRBias,"{'bandpass_nm': 200.0, 'ref_wavelength_nm': 550.0}",0.1046219484662217,-0.1403956237564637,-0.13436314752416764,0.0884835035203757,0.34458797843298195,0.34579773861344226,9,1,0.23898509599038936,-0.2288791272768394,0.9108438629402392,1.2180151118345637,False,False,AA07_dcr,AA07,dcr,True
AA08,V00,nan,{},0.0,0.0,0.20029659792851912,0.019110743505830415,0.7436852131465317,0.42620504508598145,455,58,-0.20029659792851912,-0.019110743505830415,0.0,0.0,False,True,AA07_dcr,AA07,dcr,False
AA00,F51,nan,{},0.0,0.0,-0.01248327236875342,-0.023994929142829587,0.5593669363062643,0.4644407197117671,7520,98,0.01248327236875342,0.023994929142829587,0.0,0.0,True,True,AA07_trailing,AA07,trailing,False
AA01,G96,nan,{},0.0,0.0,0.12183217692265222,-0.007020819444645066,0.6591929891719769,0.5640586743695324,11605,99,-0.12183217692265222,0.007020819444645066,0.0,0.0,False,True,AA07_trailing,AA07,trailing,False
AA02,F52,nan,{},0.0,0.0,-0.01936016854393624,0.00521720271233911,0.5774651804908084,0.5128000010002255,4341,96,0.01936016854393624,-0.00521720271233911,0.0,0.0,True,True,AA07_trailing,AA07,trailing,False
AA03,703,nan,{},0.0,0.0,0.281116258858585,-0.017962751337728546,0.895699085917569,0.7021188288567041,31218,98,-0.281116258858585,0.017962751337728546,0.0,0.0,False,True,AA07_trailing,AA07,trailing,False
AA04,691,nan,{},0.0,0.0,-0.04162937351777051,-0.025096912702431647,0.6737376115372065,0.5032148532214714,1893,82,0.04162937351777051,0.025096912702431647,0.0,0.0,True,True,AA07_trailing,AA07,trailing,False
AA05,W84,nan,{},0.0,0.0,-0.20900682791558817,0.04128092822110353,0.5328546678875351,0.2778511262978356,137,14,0.20900682791558817,-0.04128092822110353,0.0,0.0,False,True,AA07_trailing,AA07,trailing,False
AA06,W68,nan,{},0.0,0.0,0.1932509656030077,-0.011500083834932461,1.1445285434637802,0.817107293167304,12957,89,-0.1932509656030077,0.011500083834932461,0.0,0.0,False,True,AA07_trailing,AA07,trailing,False
AA07,T09,TrailingBias,{'trailing_factor': 0.1},-3.5951417469617764,1.2778634486788572,-3.8341273987227193,1.506742575955844,3.838129369367842,1.5443750478037603,9,1,0.238985651760943,-0.22887912727698678,2.8100733985060384,2.482292336623983,False,False,AA07_trailing,AA07,trailing,True
AA08,V00,nan,{},0.0,0.0,0.20029659792851912,0.019110743505830415,0.7436852131465317,0.42620504508598145,455,58,-0.20029659792851912,-0.019110743505830415,0.0,0.0,False,True,AA07_trailing,AA07,trailing,False
AA00,F51,nan,{},0.0,0.0,-0.01248327236875342,-0.023994929142829587,0.5593669363062643,0.4644407197117671,7520,98,0.01248327236875342,0.023994929142829587,0.0,0.0,True,True,AA08_clean,AA08,clean,False
AA01,G96,nan,{},0.0,0.0,0.12183217677371538,-0.007020820182397568,0.6591929890248257,0.5640586743592534,11605,99,-0.12183217677371538,0.007020820182397568,0.0,0.0,False,True,AA08_clean,AA08,clean,False
AA02,F52,nan,{},0.0,0.0,-0.01936016854393624,0.00521720271233911,0.5774651804908084,0.5128000010002255,4341,96,0.01936016854393624,-0.00521720271233911,0.0,0.0,True,True,AA08_clean,AA08,clean,False
AA03,703,nan,{},0.0,0.0,0.281116258858585,-0.017962751337728546,0.895699085917569,0.7021188288567041,31218,98,-0.281116258858585,0.017962751337728546,0.0,0.0,False,True,AA08_clean,AA08,clean,False
AA04,691,nan,{},0.0,0.0,-0.04162937351777051,-0.025096912702431647,0.6737376115372065,0.5032148532214714,1893,82,0.04162937351777051,0.025096912702431647,0.0,0.0,True,True,AA08_clean,AA08,clean,False
AA05,W84,nan,{},0.0,0.0,-0.20900682791558817,0.04128092822110353,0.5328546678875351,0.2778511262978356,137,14,0.20900682791558817,-0.04128092822110353,0.0,0.0,False,True,AA08_clean,AA08,clean,False
AA06,W68,nan,{},0.0,0.0,0.1932509656030077,-0.011500083834932461,1.1445285434637802,0.817107293167304,12957,89,-0.1932509656030077,0.011500083834932461,0.0,0.0,False,True,AA08_clean,AA08,clean,False
