stn,n_obs,mean_ra_arcsec,mean_dec_arcsec,std_ra_arcsec,std_dec_arcsec,sem_ra_arcsec,sem_dec_arcsec,snr_ra,snr_dec,mean_at_arcsec,mean_ct_arcsec,std_at_arcsec,std_ct_arcsec,sem_at_arcsec,sem_ct_arcsec,snr_at,snr_ct,mean_speed_arcsec_per_day,detected_ra,detected_dec,detected_at,detected_ct,at_better_than_ra,ct_better_than_dec,at_gains_detection,at_loses_detection,ct_gains_detection,ct_loses_detection,scenario,target_station,applied_bias,is_target,corrected_snr_at,corrected_snr_ct,corrected_detected_at,corrected_detected_ct
W84,354,0.007544264693303109,0.029967455032135933,0.29725569892201276,0.2470108393925825,0.015798962146920108,0.013128477992498394,0.4775164737497525,2.2826297952633445,0.1387428374075056,0.0174933808200714,0.26810366525080204,0.24257454108903137,0.014249549038450039,0.012892691397911897,9.736647597277017,1.3568447642285637,646.7304445115977,False,False,True,False,True,False,True,False,False,False,AA04_dcr,AA04,dcr,False,-0.06759848229266528,-0.022905884938386353,False,False
691,3214,0.3861387190984343,0.15369247517241594,0.43542702305336156,0.37246110422676026,0.007680552146235121,0.0065698883670510435,50.2748645860979,23.393468288320744,-0.25151679910996905,-0.1291826956253206,0.5075997070043711,0.40431546757422304,0.008953615215982959,0.007131771497454104,28.09108868795147,18.113689659215268,716.8270511350477,True,True,True,True,False,False,False,False,False,False,AA04_epoch,AA04,epoch,True,-16.39318245002545,-13.518492128808013,True,True
703,11201,0.07544589615142785,0.012846758645696055,0.4850614441123717,0.38663596580039683,0.004583195225162903,0.0036532033907071566,16.46141882353402,3.5165736127298644,0.22972072719255632,-0.002065967026978537,0.44051456176722315,0.3791883345720247,0.0041622855426096134,0.003582833031860945,55.19100620101357,0.5766294461970676,941.5147765161167,True,True,True,False,True,False,False,False,False,True,AA04_epoch,AA04,epoch,False,2.680066567261804,0.13492400645330274,False,False
F51,11792,0.018339282377501973,0.0004677855171236989,0.28629584162312166,0.19429403014128527,0.0026364607171067388,0.0017892281464226523,6.956023375773095,0.2614454272133937,0.15570250678577918,0.0007525098658647662,0.2507767145086511,0.18133408700758033,0.0023093697512990828,0.001669881736170109,67.42207768946152,0.4506366226812297,711.6464864123344,True,False,True,False,True,True,False,False,False,False,AA04_epoch,AA04,epoch,False,2.6050317602096134,-0.1898217894563368,False,False
F52,6019,-0.024669144041576278,-0.0024697265141186433,0.28590394952000286,0.19320735323315058,0.003685173870355285,0.0024903562573748077,6.694160142625222,0.9917161477619627,0.19648667648213697,0.0012710819776137739,0.22531639560090752,0.17407583035343124,0.0029042274338116694,0.002243759495298552,67.65540267080837,0.5664965341771825,654.8380885051354,True,False,True,False,True,False,False,False,False,False,AA04_epoch,AA04,epoch,False,0.9935099931941924,0.1308996089829046,False,False
G96,14710,0.0527730488949924,0.005286995417377304,0.3200537116544636,0.19514321691815167,0.0026388611033474133,0.0016089669513451978,19.99841857081808,3.285956503306076,0.17860094736231233,-0.004077231685710376,0.2828484825753826,0.17722312387546987,0.0023321018679978373,0.0014612147623321444,76.58368179072954,2.7903028294095433,768.1307070317077,True,True,True,False,True,False,False,False,False,True,AA04_epoch,AA04,epoch,False,3.44423961928361,0.46043692924538704,True,False
T09,76,0.1830540137951379,0.029148168184202603,0.30263533477319415,0.2569772970146711,0.034714653711077736,0.029477317591347044,5.273104992452332,0.988833807346125,-0.049426575298503195,-0.0696529007527368,0.31922580291968145,0.28834890357657045,0.03661771092361901,0.03307588766239538,1.349799702160581,2.1058512915414975,490.29880288748876,True,False,False,False,False,True,False,True,False,False,AA04_epoch,AA04,epoch,False,0.03332667339048171,0.14709455538733307,False,False
V00,470,0.05857124081038334,0.025818596322416867,0.49380176326021935,0.37363928540853214,0.022777376859362184,0.017234695066749125,2.5714655893884815,1.4980593635351664,0.3119273033875007,-0.005075814871348707,0.40686389380597243,0.3528204555784843,0.018767231972807986,0.016274394055106035,16.620847647615538,0.3118896380511438,871.7454556161142,False,False,True,False,True,False,True,False,False,False,AA04_epoch,AA04,epoch,False,0.013241498840563345,0.06956839541448888,False,False
W68,4780,-0.050659360809333615,-0.007464758055928342,0.38088128070683275,0.4035645624907085,0.005509036889167525,0.005837126092928994,9.195683715414145,1.2788413231249256,0.26961645311804905,0.05854431458465733,0.3229143935404982,0.36075954038293345,0.0046706083920859155,0.005217997619626909,57.72619549412428,11.21968978376868,922.4097525475556,True,False,True,True,True,True,False,False,True,False,AA04_epoch,AA04,epoch,False,0.22086069640289352,0.08952191085174957,False,False
W84,354,-4.808127344136077e-05,0.03093067140214406,0.3013485290929335,0.24726602980833584,0.01601649361621959,0.013142041210069545,0.0030019849908140823,2.3535667639243676,0.14767430594008782,0.016875598698647697,0.26754695726287764,0.2432578851701969,0.014219960342724434,0.012929010726055337,10.385001250418014,1.3052505761047095,646.7304445115977,False,False,True,False,True,False,True,False,False,False,AA04_epoch,AA04,epoch,False,0.3768986413560912,-0.056725768817577696,False,False
691,3214,0.20309341572818967,0.0333829253882351,0.4515277169151146,0.3707820545918164,0.007964554314792784,0.006540271398892126,25.49965857486573,5.104211026149453,-0.10793691095177874,-0.022470301320861436,0.4762069740257403,0.3805268907676498,0.008399874841845316,0.006712161792557093,12.849823715714646,3.3476995959450875,716.8270511350477,True,True,True,True,False,False,False,False,False,False,AA04_mag_dep,AA04,mag_dep,True,-4.561380850896792,-2.625421155545632,True,False
703,2752,0.11831310982427312,-0.0062673920159146725,0.5399519832531041,0.42489089732743407,0.01029273818679411,0.008099406798721401,11.494813885004124,0.7738087704032921,0.23795822567184738,0.00726811484578863,0.4959196523568193,0.4282950247919548,0.009453379748032158,0.008164297370167573,25.171762059107106,0.8902315185561953,1152.968871452626,True,False,True,False,True,True,False,False,False,False,AA04_mag_dep,AA04,mag_dep,False,2.3371744090882487,1.122539212106978,False,False
F51,2455,0.045490126892788287,0.0041795738768204485,0.2843474258262795,0.20475100893118062,0.005738832547811921,0.004132380487838381,7.926721421786837,1.0114203881082484,0.14114210542056707,-0.0054488906525049525,0.2589569778369949,0.19454170371323326,0.005226390668301277,0.003926331521841772,27.005655408925296,1.3877816027998,808.2349049222257,True,False,True,False,True,True,False,False,False,False,AA04_mag_dep,AA04,mag_dep,False,-1.0416569952146988,-1.5552458282025565,False,False
F52,1564,-0.025885649163357134,0.0030684259169103754,0.27350731067469775,0.20694126894705528,0.006915929617631068,0.005232734903833399,3.742902342060533,0.5863904771217259,0.1867070215126323,-0.00866626575528836,0.2209843080361609,0.18579511064912935,0.005587828410176303,0.004698031308119714,33.41316300490005,1.84465900436003,716.4715656463682,True,False,True,False,True,True,False,False,False,False,AA04_mag_dep,AA04,mag_dep,False,-0.899774310373839,-1.8263312675033534,False,False
G96,3347,0.0868489853850964,-0.011512185555062747,0.326450112863091,0.21860969640545794,0.005642726060264981,0.003778692615894516,15.391316972955797,3.0466054599515258,0.16889268737463015,-0.01510288437449795,0.3033525614261536,0.20310893483545817,0.005243482346490627,0.0035107602494515184,32.210023075154844,4.3018842932545605,842.4066019222986,True,True,True,True,True,True,False,False,False,False,AA04_mag_dep,AA04,mag_dep,False,0.32323202313443944,-2.6339145811352647,False,False
T09,37,0.16273431095105054,0.04108118818421733,0.3422382317430654,0.2828470129306794,0.05626361871573614,0.046499762488148993,2.8923541475929997,0.8834709251404745,0.033242315373139084,-0.02531197120305294,0.35856361066541015,0.3093864250607172,0.05894749447794584,0.05086281496600672,0.5639309298476818,0.49765179571696455,513.5960375072281,False,False,False,False,False,False,False,False,False,False,AA04_mag_dep,AA04,mag_dep,False,1.2145467993694616,0.8422776592763896,False,False
V00,72,-0.01626502725628113,0.032477844157108304,0.49060621943176297,0.3905489410628946,0.05781849744208249,0.046026634101799684,0.28131182884117684,0.7056315281555292,0.27455879218060547,-0.04270443724581257,0.407727940564718,0.3873308635259825,0.04805119860875629,0.045647380027010576,5.713880197164802,0.9355287690234007,762.6979556933921,False,False,True,False,True,True,True,False,False,False,AA04_mag_dep,AA04,mag_dep,False,-0.7172468270396476,-0.7430754647679687,False,False
W68,1306,0.004743295849099627,-0.04665656879420499,0.4338309897989327,0.6262988601117014,0.01200463564462178,0.017330457706047023,0.3951220169872195,2.6921717582753377,0.3362735524888897,0.1688744224615831,0.39809942785684704,0.5314795177294964,0.011015899495720165,0.01470669019259998,30.526200118250603,11.482829939979036,1450.2156077739394,False,False,True,True,True,True,True,False,True,False,AA04_mag_dep,AA04,mag_dep,False,5.692804051916464,7.111472662858611,True,True
W84,74,0.0025469734413437364,0.01525424335825935,0.3346518911419926,0.2710505798485638,0.0389024921464103,0.031508989887538585,0.06547070125374363,0.48412352832333144,0.23540658663678235,0.0820293182452232,0.25642866965800337,0.238643511296463,0.02980922735396175,0.027741744689747785,7.89710460595001,2.956891109863681,652.6674430309745,False,False,True,False,True,True,True,False,False,False,AA04_mag_dep,AA04,mag_dep,False,2.8866824471708816,2.096354340399634,False,False
691,3214,0.18477460997969614,0.01990442709389523,0.4575624169621947,0.37178367464038337,0.008071001149611314,0.006557939101185354,22.89364188587615,3.0351649789333184,-0.08653741017933335,-0.06459180446649815,0.47083003146572283,0.3857326611842328,0.008305030274252955,0.006803987033134763,10.419878955482492,9.49322862491393,716.8270511350477,True,True,True,True,False,True,False,False,False,False,AA04_seasonal,AA04,seasonal,True,-2.727953345704152,-7.047911978971874,False,True
703,11201,0.09799076880189987,0.014612527189874826,0.4855681220529262,0.3865583053793422,0.0045879826679622255,0.0036524696014619343,21.35813840060188,4.000725203578978,0.2165834269931701,-0.004200978675329877,0.45109075947585053,0.38025910885783415,0.004262216756328861,0.00359295044616694,50.814737817256876,1.1692281144070882,941.5147765161167,True,True,True,False,True,False,False,False,False,True,AA04_seasonal,AA04,seasonal,False,0.4781724548199918,-0.28450738083476995,False,False
F51,11792,0.030662992050173525,0.0003799841717144352,0.2861081421887354,0.19537190644850608,0.002634732217724502,0.0017991541674426455,11.637991839890185,0.21120156270685378,0.14725550493533418,0.0017528863993052986,0.2557850512138797,0.1838966012906817,0.002355490864712812,0.0016934795928700858,62.515846332220015,1.0350797297383023,711.6464864123344,True,False,True,False,True,True,False,False,False,False,AA04_seasonal,AA04,seasonal,False,0.04286555082414357,0.22851347497536753,False,False
F52,6019,-0.017796310268032158,0.00011134596795295321,0.2862339470151413,0.19328234026289787,0.00368942739028185,0.002491322806606129,4.823596831017354,0.04469351288307645,0.19230573342635746,0.0006570820106056029,0.22768295916383607,0.175434053677061,0.002934731378298204,0.0022612663856746754,65.52754192374226,0.29058142586308106,654.8380885051354,True,False,True,False,True,True,False,False,False,False,AA04_seasonal,AA04,seasonal,False,-0.019230292002576234,-0.061700953022653306,False,False
G96,14710,0.06896979154876563,0.00649312527353243,0.32176540682823834,0.19787766870314016,0.0026529741276629638,0.001631512662241922,25.997159500956737,3.9798191113086343,0.16851562503766265,-0.00456422667337491,0.29273626696605887,0.18268296528388964,0.0024136272141403975,0.0015062314660867922,69.81841439738602,3.0302292683028504,768.1307070317077,True,True,True,True,True,False,False,False,False,False,AA04_seasonal,AA04,seasonal,False,0.4358354857883283,0.22482446841081954,False,False
T09,76,0.19199339402760596,0.032936789636150245,0.305442716363881,0.2567197306678703,0.035036682465018794,0.02944777270511121,5.479782345811289,1.1184815220484723,-0.05718504512170004,-0.0765697272409012,0.32378698576536113,0.2890669134681278,0.037140914478548726,0.03315824904549435,1.5396778976653387,2.309221067006424,490.29880288748876,True,False,False,False,False,True,False,True,False,False,AA04_seasonal,AA04,seasonal,False,-0.11530312306909682,-3.0289572718255112e-05,False,False
V00,470,0.06294678454736882,0.02885944616381754,0.4943815089556667,0.3735959252493557,0.022804118534200713,0.01723269501174786,2.7603252654981483,1.6746914016724315,0.3118981107564241,-0.005231741819370234,0.4086137908328836,0.35257888381614766,0.018847948703716113,0.01626325118061933,16.548119673889467,0.3216910174519607,871.7454556161142,False,False,True,False,True,False,True,False,False,False,AA04_seasonal,AA04,seasonal,False,0.012117437361504552,0.06282659514410671,False,False
W68,4780,-0.051084878021890795,-0.006348498675255477,0.38008898665743923,0.4036759909834436,0.005497577210348244,0.005838737785884454,9.29225294475761,1.0873066933410513,0.26834012301719634,0.05790796616680791,0.32291004551030283,0.3611454631855818,0.004670545502519127,0.005223579576692941,57.45370061644045,11.08587804906565,922.4097525475556,True,False,True,True,True,True,False,False,True,False,AA04_seasonal,AA04,seasonal,False,0.027638164896013083,0.003345808801486134,False,False
W84,354,0.001651709628332716,0.03333329646770969,0.29965492482496314,0.24612454490712532,0.015926479564954767,0.013081371972067022,0.10370839466414165,2.5481498835815617,0.14505800896311782,0.01688429478557645,0.26745000419081905,0.24201349433818248,0.014214807345082887,0.012862872099538616,10.204711568834279,1.3126380061092326,646.7304445115977,False,False,True,False,True,False,True,False,False,False,AA04_seasonal,AA04,seasonal,False,0.24671613795009556,-0.056393865996224854,False,False
691,3214,0.13613875763801092,0.0036924751723982348,0.4354270633588009,0.3724611042268508,0.007680552857187846,0.00656988836705264,17.72512476241934,0.5620301238169652,-0.05516321875072883,0.0022605393808483275,0.4510482309851145,0.3746780269655567,0.007956096602033186,0.006608992946688981,6.933452609993679,0.34203991426270597,716.8270511350477,True,False,True,False,False,False,False,False,False,False,AA04_step,AA04,step,True,0.0,0.0,False,False
703,11201,0.10596755937673527,0.01377987932255961,0.48780085619099245,0.385894576413907,0.004609079080725703,0.0036461982322114847,22.99104821608975,3.7792457910885076,0.21368975691234662,-0.002752111452186647,0.45465122624799675,0.381955679819821,0.004295858503178712,0.0036089808192805092,49.74320191277886,0.7625730337728176,941.5147765161167,True,True,True,False,True,False,False,False,False,True,AA04_step,AA04,step,False,0.0,0.0,False,False
F51,11792,0.030476261980413838,0.000607134735934697,0.28591548080551216,0.195867801813104,0.0026329580244086235,0.0018037208025748416,11.574913727407019,0.33660128278611745,0.14711277002128678,0.0012047146172535354,0.2555793686082908,0.18449779546101602,0.002353596760674301,0.0016990159108426206,62.50551176792887,0.709066118548626,711.6464864123344,True,False,True,False,True,True,False,False,False,False,AA04_step,AA04,step,False,0.0,0.0,False,False
F52,6019,-0.017268718322460776,0.0005062424051965786,0.2862513072000036,0.19311407207456416,0.0036896511552901557,0.0024891539050155755,4.680311930763752,0.2033793106069152,0.19238552867590225,0.000854299610275179,0.22758629096445931,0.17526202823299278,0.0029334853685000334,0.0022590490547403502,65.58257652884559,0.3781677996245948,654.8380885051354,True,False,True,False,True,True,False,False,False,False,AA04_step,AA04,step,False,0.0,0.0,False,False
G96,14710,0.07079275686573822,0.006467874351040778,0.3212622380959296,0.1976785627102618,0.002648825472772363,0.0016298710219768112,26.726093354744048,3.9683350791746266,0.16702605703098156,-0.005042812344207323,0.2934811692270232,0.18243848941859217,0.0024197689757593866,0.0015042157486364126,69.02562133170768,3.3524528305056545,768.1307070317077,True,True,True,True,True,False,False,False,False,False,AA04_step,AA04,step,False,0.0,0.0,False,False
T09,76,0.18758608737704044,0.03538836868954113,0.30454192625159826,0.2581920965768825,0.03493335475268245,0.02961666465788223,5.369827453019986,1.1948802844051114,-0.05115665091324606,-0.07656830147185381,0.3207942911915789,0.2912626838432762,0.03679762886760137,0.03341012118150731,1.3902159592214147,2.2917696423751615,490.29880288748876,True,False,False,False,False,True,False,True,False,False,AA04_step,AA04,step,False,0.0,0.0,False,False
V00,470,0.06287298105620164,0.029277152013130595,0.4937642251563852,0.37510267379067336,0.02277564535574832,0.017302196139348733,2.7605356543863286,1.6921061220978972,0.3115752705535209,-0.006679720987877251,0.4082331893558976,0.35403439636308437,0.01883039286669904,0.016330388968030667,16.546403081399966,0.40903624530645694,871.7454556161142,False,False,True,False,True,False,True,False,False,False,AA04_step,AA04,step,False,0.0,0.0,False,False
W68,4780,-0.04955952264205588,-0.006673935827525007,0.38007972697371434,0.40386573148567034,0.005497443279011089,0.005841482177586238,9.015013002730049,1.142507265216505,0.2681575607141653,0.057883246066674506,0.32293874090658153,0.36125505273803776,0.00467096055047411,0.00522516467136083,57.40951091675284,11.077784090505903,922.4097525475556,True,False,True,True,True,True,False,False,True,False,AA04_step,AA04,step,False,0.0,0.0,False,False
W84,354,0.0058858451106142025,0.030193397515855088,0.2969090336315719,0.24682679857946754,0.015780537094612655,0.013118696333642278,0.37298129178528283,2.3015547237285725,0.14010232331513953,0.01791081087936441,0.26701919185942036,0.24232661194349936,0.014191909928007698,0.012879514112498755,9.87198509755533,1.3906433676704542,646.7304445115977,False,False,True,False,True,False,True,False,False,False,AA04_step,AA04,step,False,0.0,0.0,False,False
691,3214,0.14409065933315937,0.0036924751723982348,0.4353334004584352,0.3724611042268508,0.007678900725481868,0.00656988836705264,18.764490450437144,0.5620301238169652,-0.061290886628208086,0.0021284632807068897,0.4523467540165304,0.37502640274031285,0.007979001413466203,0.006615137990893488,7.681523470439187,0.32175644463304753,716.8270511350477,True,False,True,False,False,False,False,False,False,False,AA04_timing,AA04,timing,True,-0.5438198157017541,-0.014124466310923843,False,False
703,11201,0.10587452256640625,0.013771041758290093,0.4877892527667385,0.38588395990657937,0.00460896944356678,0.0036460979201246705,22.97140908889869,3.776925924638695,0.2137571255002131,-0.002747348500895683,0.45458399829406,0.38194622289793845,0.004295223287081411,0.0036088914637571155,49.766242919925205,0.7612721325887412,941.5147765161167,True,True,True,False,True,False,False,False,False,True,AA04_timing,AA04,timing,False,0.011089822295289714,0.0009332155028451673,False,False
F51,11792,0.029990718000235735,0.0005722033444402545,0.2857001306289298,0.195927272909209,0.0026309748929814864,0.0018042684640700109,11.399089394672826,0.31713869406634565,0.14752551186673135,0.001091029497049918,0.2553440801925387,0.18414418350957157,0.0023514300206273486,0.0016957595449317597,62.73863588225022,0.6433869119656483,711.6464864123344,True,False,True,False,True,True,False,False,False,False,AA04_timing,AA04,timing,False,0.12405987910881015,-0.04735952847556275,False,False
F52,6019,-0.01677555835778952,0.00038023666296262414,0.2862903588390876,0.19366443890470095,0.0036901545134290993,0.002496247886980272,4.546031418668354,0.1523232788481592,0.19204633347360361,0.0016260641470218489,0.22771964506718914,0.17607637868683435,0.0029352042431630442,0.0022695456673924217,65.4286099241428,0.7164712172943863,654.8380885051354,True,False,True,False,True,True,False,False,False,False,AA04_timing,AA04,timing,False,-0.08173791196151454,0.24101007265160487,False,False
G96,14710,0.07090691367073645,0.0064513628410120165,0.3212085467871726,0.19763933449483997,0.0026483827848699662,0.0016295475831037069,26.7736650743325,3.9589901564730448,0.16699300245837462,-0.005041340980453949,0.29342686011954056,0.18246285747184235,0.002419321194071267,0.0015044166646250253,69.02473423851443,3.351027078465991,768.1307070317077,True,True,True,True,True,False,False,False,False,False,AA04_timing,AA04,timing,False,-0.009660126808647657,0.0006916174144086777,False,False
