fake_code,real_code,bias_type,bias_params,injected_ra_arcsec,injected_dec_arcsec,recovered_mean_ra_arcsec,recovered_mean_dec_arcsec,recovered_rms_ra_arcsec,recovered_rms_dec_arcsec,n_obs,n_objects,recovery_error_ra,recovery_error_dec,detection_snr_ra,detection_snr_dec,detected_ra,detected_dec,scenario,target_station,applied_bias,is_target
AA00,F51,,{},0.0,0.0,-0.1297084296939341,0.0007453231569707,0.3058813944824515,0.1892567511754493,11792,100,0.1297084296939341,-0.0007453231569707,0.0,0.0,False,True,AA01_constant,AA01,constant,False
AA01,G96,ConstantBias,"{'delta_ra': 0.5, 'delta_dec': 0.0}",0.5,0.0,0.57079275814208,0.0064678743510407,0.6549860937199006,0.1977776303687236,14710,100,-0.0707927581420799,-0.0064678743510407,92.58577394738342,0.0,True,True,AA01_constant,AA01,constant,True
AA02,F52,,{},0.0,0.0,-0.1112692220870545,0.0012549901232356,0.3092364867905238,0.1912401084221456,6019,100,0.1112692220870545,-0.0012549901232356,0.0,0.0,False,True,AA01_constant,AA01,constant,False
AA03,703,,{},0.0,0.0,-0.087117415158167,0.0112129432881656,0.4901656278679943,0.3805347423503605,11201,92,0.087117415158167,-0.0112129432881656,0.0,0.0,True,True,AA01_constant,AA01,constant,False
AA04,691,,{},0.0,0.0,-0.2019862830757228,0.0053057739586735,0.4391393139982875,0.361770649228881,3214,97,0.2019862830757228,-0.0053057739586735,0.0,0.0,False,True,AA01_constant,AA01,constant,False
AA05,W84,,{},0.0,0.0,-0.179084841995592,0.0860460249128317,0.3621416771750202,0.2559555192886129,354,31,0.179084841995592,-0.0860460249128317,0.0,0.0,False,True,AA01_constant,AA01,constant,False
AA06,W68,,{},0.0,0.0,-0.045344798847255,0.0050102655764936,0.47550003832306,0.4120611259051058,4780,57,0.045344798847255,-0.0050102655764936,0.0,0.0,True,True,AA01_constant,AA01,constant,False
AA07,T09,,{},0.0,0.0,-0.0666153458084232,0.0260775619130762,0.294846790764199,0.263092215084076,76,9,0.0666153458084232,-0.0260775619130762,0.0,0.0,True,True,AA01_constant,AA01,constant,False
AA08,V00,,{},0.0,0.0,0.003375132903442,0.0110526331246273,0.5076642841091201,0.3732702000972819,470,66,-0.003375132903442,-0.0110526331246273,0.0,0.0,True,True,AA01_constant,AA01,constant,False
AA00,F51,,{},0.0,0.0,0.0212389026338062,0.0001397527567543,0.2867194783985557,0.1937011032430958,11792,100,-0.0212389026338062,-0.0001397527567543,0.0,0.0,True,True,AA01_timing,AA01,timing,False
AA01,G96,TimingBias,{'delta_t_sec': 1.0},0.0138346688787042,0.0,0.0846274257340601,0.0064678743510407,0.3821111459678683,0.1977776303687236,14710,100,-0.0707927568553559,-0.0064678743510407,4.391222059615107,0.0,True,True,AA01_timing,AA01,timing,True
AA02,F52,,{},0.0,0.0,-0.0247249412196,-0.0010157846727082,0.2873961374154052,0.1925503677628143,6019,100,0.0247249412196,0.0010157846727082,0.0,0.0,True,True,AA01_timing,AA01,timing,False
AA03,703,,{},0.0,0.0,0.100818914810591,0.0134561420625128,0.4972566415314042,0.385470052349773,11201,92,-0.100818914810591,-0.0134561420625128,0.0,0.0,False,True,AA01_timing,AA01,timing,False
AA04,691,,{},0.0,0.0,0.1288034796761291,0.003634805690924,0.4551492491614086,0.3717012655799059,3214,97,-0.1288034796761291,-0.003634805690924,0.0,0.0,False,True,AA01_timing,AA01,timing,False
AA05,W84,,{},0.0,0.0,0.0058206350157535,0.0301650817399694,0.2988782718218294,0.2479216152247446,354,31,-0.0058206350157535,-0.0301650817399694,0.0,0.0,True,True,AA01_timing,AA01,timing,False
AA06,W68,,{},0.0,0.0,-0.0519887767981735,-0.0078559005095706,0.3836171829294797,0.4036382542494056,4780,57,0.0519887767981735,0.0078559005095706,0.0,0.0,True,True,AA01_timing,AA01,timing,False
AA07,T09,,{},0.0,0.0,0.1865851776692721,0.0329172586601334,0.3553237726681304,0.2581535002944448,76,9,-0.1865851776692721,-0.0329172586601334,0.0,0.0,False,True,AA01_timing,AA01,timing,False
AA08,V00,,{},0.0,0.0,0.0597559007461845,0.0284445032170198,0.497210033659988,0.3751233724037471,470,66,-0.0597559007461845,-0.0284445032170198,0.0,0.0,True,True,AA01_timing,AA01,timing,False
AA00,F51,,{},0.0,0.0,-0.0416931730664068,0.00282528108757,0.2631616250193166,0.182692875298213,1657,15,0.0416931730664068,-0.00282528108757,0.0,0.0,True,True,AA01_mag_dep,AA01,mag_dep,False
AA01,G96,MagnitudeDependentBias,"{'slope_ra': 0.05, 'slope_dec': 0.02, 'ref_mag': 18.0}",0.0697201965978806,0.0278880786391522,0.1419556855171492,0.0342204546431428,0.367776338051669,0.2018373567488869,14710,100,-0.0722354889192686,-0.0063323760039906,22.992233176050817,16.75804609676585,True,True,AA01_mag_dep,AA01,mag_dep,True
AA02,F52,,{},0.0,0.0,-0.0664383462078853,0.0032214067842583,0.255427872782774,0.1777189920700069,759,15,0.0664383462078853,-0.0032214067842583,0.0,0.0,True,True,AA01_mag_dep,AA01,mag_dep,False
AA03,703,,{},0.0,0.0,-0.0336578477701026,-1.7596860922129738e-05,0.4147092266366277,0.3618149334925353,757,14,0.0336578477701026,1.7596860922129738e-05,0.0,0.0,True,True,AA01_mag_dep,AA01,mag_dep,False
AA04,691,,{},0.0,0.0,0.1183925176191813,0.0125694934956028,0.4102617368788289,0.3709948860051044,496,15,-0.1183925176191813,-0.0125694934956028,0.0,0.0,False,True,AA01_mag_dep,AA01,mag_dep,False
AA05,W84,,{},0.0,0.0,-0.1613018353167429,-0.0133212308759311,0.4884398236322459,0.2353679610787799,15,2,0.1613018353167429,0.0133212308759311,0.0,0.0,False,True,AA01_mag_dep,AA01,mag_dep,False
AA06,W68,,{},0.0,0.0,-0.2763114390186081,0.0354636098365674,0.3575986344338817,0.2936675872527485,107,5,0.2763114390186081,-0.0354636098365674,0.0,0.0,False,True,AA01_mag_dep,AA01,mag_dep,False
