obs_code,n_objects,n_obs,bias_ra_arcsec,bias_ra_ci_low,bias_ra_ci_high,bias_dec_arcsec,bias_dec_ci_low,bias_dec_ci_high,bias_ra_median_arcsec,bias_ra_median_ci_low,bias_ra_median_ci_high,bias_dec_median_arcsec,bias_dec_median_ci_low,bias_dec_median_ci_high,rms_ra_arcsec,rms_ra_ci_low,rms_ra_ci_high,rms_dec_arcsec,rms_dec_ci_low,rms_dec_ci_high,sem_ra_arcsec,sem_dec_arcsec,chi2_per_obs,bias_significant,sigma_model_source,obs_epoch_start,obs_epoch_end
G56,105,413,-0.04693594159926985,-0.11761028864170119,0.018445477804388846,0.14887069060616157,0.07855795000704067,0.21802473964898839,-0.03306708747345396,-0.10187012390162259,0.016767392262657294,0.12235856688818103,0.059406646317938794,0.21030267085055954,0.5076295008936318,0.44853521824895504,0.5658486416020404,0.5031094254019245,0.44864721996320983,0.559545961648731,0.034054431358343504,0.034822602560148755,4.857378214989631,True,,,
G58,124,446,0.03689323500848549,-0.002592346343867496,0.07756766888050733,0.03039252901663358,-0.008058343305510725,0.06939643184119462,0.013181169327340515,-0.014185495777604187,0.048881333327811485,0.0232134139643847,-0.012830060990687286,0.0662559092944548,0.28530566558118126,0.25293865360930146,0.3199009273874084,0.2698623238128618,0.24293293560523235,0.2966980811431563,0.02046479054644578,0.02027182121475076,2.6095115905058814,False,,,
G68,30,107,0.18756228319845614,0.001203809953626866,0.3891319622952874,0.46201223761381166,0.22462309592207463,0.7126158302887993,0.05512355319650178,-0.04699417992933753,0.209328093772414,0.23592514656129993,0.15428342187817634,0.3909646698129876,0.5141856311672637,0.37152062443601863,0.6650631612363881,0.6236849822822212,0.41910922212782925,0.8522329155422693,0.10138560937358691,0.12564297670605343,5.4600411264247874,True,,,
G70,31,175,-0.05728665245811462,-0.13620630837183562,0.026693356230616503,0.0776724859428724,-0.00029739391975715213,0.14766750145705249,-0.08427515117021467,-0.12779899963234623,-0.06273095301215885,0.10760969458232239,0.04257033006638267,0.13412023734389322,0.3590311953261573,0.29023828497868615,0.4324793616002945,0.30377475434176476,0.24220602291863136,0.36244463520954917,0.04090476883087232,0.03907791320545618,1.5322462172178164,False,,,
G72,54,930,0.13772227373301582,0.018785659271034868,0.28376208359373933,0.22238498361295025,0.07470375810285483,0.3600638156221575,0.06516587845378827,-0.05608758754953401,0.25754875676743033,0.17346965908643597,0.0998897920922559,0.2648429404745824,0.7550515100057227,0.652894075096951,0.8646011339191105,0.8235313356229929,0.7152911994162113,0.9451845002591673,0.06596855818730292,0.07269675982560057,4.721395192636897,True,,,
G80,23,120,0.10785530160500931,0.007813104588864531,0.21207819432030756,-0.20389195366189475,-0.38006704433261174,-0.06910232465663124,0.15777791028482838,-0.03591887746677774,0.21963597746104518,-0.14382626843181257,-0.2366936292535371,-0.06541395088479618,0.35934940070433774,0.2894997060802184,0.4454895253844822,0.452595267491323,0.33240284089553473,0.6006245111682029,0.0540735471933005,0.08215226797980937,14.995354168417292,True,,,
G89,23,192,0.052712458862598795,-0.02976257582941422,0.148262373000191,-0.0294975411155994,-0.0816861936910277,0.022553103869287935,0.021126332743298698,-0.008736854316828167,0.05294796339960854,-0.05470593718115424,-0.11919192923102173,0.015863613100844783,0.19412680238632923,0.1345574995846286,0.2686162474350191,0.15628025156479602,0.12035534422491696,0.19222103351237974,0.04573539935114973,0.027254346118233297,0.6900871716605236,False,,,
G90,99,353,0.06407163723215833,0.01043223145703844,0.12540737275738698,0.2684684727464472,0.21179920373743932,0.3295644800222103,0.05510970329341062,0.019808119207116087,0.10456818462733691,0.2480773472001374,0.18022444633293944,0.3142696637411291,0.3189586161992977,0.27912060201188854,0.3640824755025774,0.4130540337365333,0.3686465417286591,0.4644454931949492,0.028684806320032473,0.030725447764758967,1.043003190908241,True,,,
G92,182,680,-0.02027505404373795,-0.07544185420986811,0.038643396870604446,0.14423853080613883,0.09624713846543513,0.19070002819308218,-0.045263564315732974,-0.10046033400504589,0.051218839705178876,0.16184364028362097,0.09694760211900189,0.19920913128265533,0.4909406284560798,0.4469170649659677,0.5368939604071922,0.4629989118504019,0.42735596754751,0.49997864959044025,0.030013875673712394,0.024508914854357234,1.3236619792702162,True,,,
G96,14245,609351,-0.0006475634050489052,-0.002559488716455467,0.0012364123760804802,0.008217952409939815,0.0065036668370575266,0.009974165610128347,0.0012701539810812392,0.00011702947634798946,0.002507732804354967,0.012078988426864612,0.010976381713227656,0.013409922640760151,0.2677192098754771,0.266243359278382,0.2691769099208978,0.2515020871067378,0.2500991254468656,0.25285818472825233,0.0009399241631531016,0.0008825195812507989,2.061777693730511,True,,,
G98,22,197,0.17161987855584127,0.08867555351369218,0.2521170420917529,0.33269132205219654,0.20852260133087716,0.450302624496127,0.12186659096557552,0.0483090405476566,0.2516257082957605,0.35837758112542417,0.1708490754278813,0.5103218790072488,0.37978609928210544,0.3090419625729079,0.4444820308068974,0.4611635525690898,0.3666193208586245,0.5549180749388848,0.043739271223540176,0.06336211944778397,1.2034578887211156,True,,,
H01,1587,7838,-0.011266908560898103,-0.017844900416272257,-0.004885307362317454,0.03725491778088063,0.030930410907542366,0.043741776422981826,-0.00886399862549041,-0.014490547404407729,-0.0014625444144859368,0.021761956209864763,0.01528179807976926,0.026455034070593797,0.12650399318225633,0.12230188946410879,0.13080753656335406,0.13099434069287605,0.12679377204738249,0.13542629577151397,0.0032278431666611807,0.003317809314631375,4.7457139834864535,True,,,
H06,408,1835,0.008885293797335058,-0.027815236914213785,0.04705578836706165,0.07238010381795726,0.034798899842900306,0.11054824296334295,0.004730544221891217,-0.019009751497554253,0.04369841542647346,0.05553445378819585,0.03128587915870895,0.09190779699936868,0.41750433206111603,0.389860431318015,0.446693346943528,0.42432082261060805,0.39719835459474345,0.45396636971559823,0.019291072002999895,0.019295796005023486,3.0874184888930913,True,,,
H07,46,217,-0.03235345986502281,-0.11707425903862562,0.054001189101652906,0.35224085356876694,0.2546573492483672,0.4569766547738414,-0.022689578872341746,-0.0903996086121695,0.07338790711662875,0.32006300670488486,0.2259445485240441,0.4037464518585665,0.39165543594128066,0.3259391331813557,0.46302895892886864,0.5555938363754177,0.46520933995611913,0.6448177617481615,0.044540091580734506,0.05118352501592067,2.445892585487933,True,,,
H10,101,566,0.027043692234901506,-0.06285319106078824,0.10763743391708928,-0.01125352218264672,-0.08412428124725395,0.06298309213831071,0.03837338571577783,-0.021292752463052594,0.1297726051046658,0.008562514808244593,-0.06983575781900342,0.04647463645832366,0.4801269960001595,0.41867544684215713,0.5496288912039171,0.44845384060591226,0.3973099961303877,0.5023028010655021,0.04520302029645204,0.03723135886935274,3.899205982583478,False,,,
H15,1627,7459,-0.006023080858399667,-0.021325552241929342,0.009615408516246482,0.01861917075627106,0.005468182818964766,0.03271630824291214,-0.0050265950084347755,-0.019517199379092947,0.008301219206907675,0.0034807634939681975,-0.008573014053858685,0.01877136569765625,0.4400141161096638,0.4280964575254623,0.4524322758801011,0.38275632277923544,0.3722317405842789,0.3933025287785893,0.007961990485635256,0.006818056856654135,4.5371599290218105,True,,,
H20,33,216,-0.2354412766035463,-0.36181928020389953,-0.09976271877606709,0.20786404661587576,0.051457319527583235,0.36229407039205297,-0.371704708723746,-0.4715222424812359,-0.15508150187220776,0.31716614116450437,0.06294588158066716,0.4294638303660138,0.5941282043122067,0.5212835570090922,0.6707640375148931,0.5347165012148085,0.4618356898717028,0.6164526020105316,0.06874594914862624,0.07958044799265374,3.8614659695561495,True,,,
H21,4886,63631,-0.006935250130673774,-0.012989604363523463,-0.0007462885525296563,0.05727570700955913,0.05106251377577861,0.06313620328275754,-0.005951715728688113,-0.012153726897117625,-0.00012663633233332694,0.049533978737281714,0.043579763393164175,0.05643175525668198,0.2905055155337459,0.2861251573073634,0.2947275851940962,0.2931069704476183,0.2887405826001395,0.29739544530559237,0.003178935834639204,0.0032380242369372705,3.3803199647259663,True,,,
H23,63,230,0.018970017198892415,-0.07623143129296761,0.11838027820664002,0.05090704748251206,-0.05050156503970089,0.14205056755936765,-0.01173476083317923,-0.07390755938588293,0.0747220018852041,0.08182854933806993,-0.019827245381520697,0.1672833733593393,0.4342189595951605,0.36217973695355254,0.5107390152204292,0.42181240164020073,0.3601798773464745,0.4864155903297434,0.04968619136297993,0.05037792676511568,7.308693664421622,False,,,
H26,112,1466,0.04180941171684972,-0.0210570799169445,0.10338998339869027,0.036365039439687115,-0.029198978041887542,0.09901261148111032,0.009378066071210556,-0.030361280694145055,0.10743249405049954,0.05565376403854572,-0.02134408256460254,0.09666914785668723,0.44716794324001946,0.4034701390816942,0.4933523827936215,0.4248583668019358,0.3869402451012176,0.463737607826958,0.031943671224525065,0.0320553516562127,2.1458152060421845,False,,,
H36,1212,4340,0.02524683950607863,0.002718638219718284,0.04642947202878769,0.00604664413963859,-0.014927901575352912,0.02772821761498745,0.029191517941801602,0.00925137290742939,0.04511673518767284,-0.003994045098920651,-0.019754835331266693,0.01379990677541152,0.47427129847490623,0.4560647242936012,0.4915317497300207,0.45706752738796547,0.44046677425906694,0.47376662424525523,0.01105989967607789,0.01092479068052495,6.664894913993611,True,,,
H41,95,3928,0.12054005784470177,0.0638552541666333,0.17769872332654643,0.03705763493003731,-0.00464930906686102,0.08397061788620548,0.07319040056633677,0.04187734155252918,0.11506043395035936,0.01707282662008228,-0.016881902213626974,0.05040673012501884,0.48789871186427913,0.444312131170578,0.5331948740300954,0.4529027639363462,0.42084852057620115,0.48833204742790576,0.029891514630254187,0.023018651752167094,2.7063205427199764,True,,,
H45,1149,30042,0.018624866466243773,0.005212139678720218,0.031132572058721886,-0.021505066806585295,-0.033356629112013376,-0.010900694080315835,0.018163763863921552,0.008462016824730407,0.02787002163410802,-0.02577486241423036,-0.03400401802490143,-0.015642667623616546,0.3316792251300024,0.32242386196424183,0.3409290767735489,0.302974556289907,0.2951657147903722,0.31073303956244963,0.006823401873644311,0.005808703463843698,2.3628813327258276,True,,,
